"ENV","AGROZONE","TMAX1","TMIN1","TRAN1","TMEAN1","PRECIP1","RH1","WS1","SRAD1","SSW1","RZSW1","SM1","TMAX2","TMIN2","TRAN2","TMEAN2","PRECIP2","RH2","WS2","SRAD2","SSW2","RZSW2","SM2","TMAX3","TMIN3","TRAN3","TMEAN3","PRECIP3","RH3","WS3","SRAD3","SSW3","RZSW3","SM3","TMAX4","TMIN4","TRAN4","TMEAN4","PRECIP4","RH4","WS4","SRAD4","SSW4","RZSW4","SM4"
"Abuja20","Southern Guinea Savanna",28.1984236453202,21.6388177339901,6.55960591133005,24.5670935960591,1643.66,85.7707881773399,1.31891625615764,82.4055665024631,0.68423645320197,0.634433497536946,0.62512315270936,30.2439408866995,18.8881280788177,11.3559113300493,24.2676354679803,637.08,69.3875862068966,1.51827586206897,101.156305418719,0.71320197044335,0.688620689655172,0.767093596059113,34.5769458128079,20.2128078817734,14.3643349753695,26.7025615763547,252.88,49.3392118226601,1.95098522167488,105.316798029557,0.487339901477833,0.513004926108374,0.586059113300493,29.2503414634146,22.2234634146341,7.02736585365854,25.3288780487805,1459.1,84.8620975609756,1.4479512195122,96.9311219512195,0.668487804878049,0.618292682926829,0.625219512195122
"Ago-Owu18","Derived Savanna",28.2154046242775,22.5988439306358,5.61673410404624,24.9160115606936,3043.24,92.102774566474,0.270578034682081,81.4911271676301,0.883294797687861,0.908612716763006,0.952138728323699,29.1902601156069,21.6801156069364,7.51017341040462,25.0093641618497,1694.49,86.8041040462428,0.281156069364162,89.9482658959538,0.851473988439306,0.869277456647399,0.931589595375723,30.0834104046243,22.3365606936416,7.74601156069364,25.717225433526,621.58,85.2965317919075,0.304393063583815,90.5906936416185,0.724450867052023,0.709306358381503,0.825173410404624,28.6821022727273,23.4288352272727,5.25372159090909,25.6469602272727,2503.39,92.0890340909091,0.271363636363636,91.1354545454546,0.749857954545455,0.723409090909091,0.82
"Ago-Owu19","Derived Savanna",27.6526373626374,22.206043956044,5.44648351648352,24.4463736263736,1122.81,92.4184615384615,0.295934065934066,74.8064835164835,0.882417582417582,0.895494505494505,0.943626373626374,29.0327472527473,22.6106593406593,6.42208791208791,25.4604395604396,515.76,89.5254945054945,0.256263736263736,93.0810989010989,0.906373626373626,0.944945054945055,0.969010989010989,29.9008791208791,22.0286813186813,7.87186813186813,25.4986813186813,190.17,84.97,0.297142857142857,89.4605494505495,0.764065934065934,0.74989010989011,0.864725274725275,29.0854838709677,23.8312903225806,5.25430107526882,26.0679569892473,518.23,92.1696774193548,0.263548387096774,93.7734408602151,0.768817204301075,0.746881720430107,0.853548387096774
"Ago-Owu20","Derived Savanna",27.9519587628866,22.6410309278351,5.31144329896907,24.830618556701,1062.99,92.460206185567,0.302783505154639,78.7148453608247,0.880824742268041,0.902680412371134,0.945670103092783,28.6918556701031,22.8567010309278,5.83577319587629,25.3286597938144,1036.65,91.5026804123711,0.258556701030928,87.4432989690722,0.932783505154639,0.969381443298969,0.978350515463917,30.5418556701031,20.4935051546392,10.0485567010309,25.1165979381443,89.04,78.7763917525773,0.35319587628866,93.7975257731959,0.737422680412371,0.729484536082474,0.847731958762887,29.1649484536082,23.6817525773196,5.48298969072165,25.9886597938144,572.37,91.3756701030928,0.268247422680412,96.1449484536083,0.721855670103093,0.692577319587629,0.791958762886598
"Ibadan18","Derived Savanna",29.1238461538462,22.0965934065934,7.02835164835165,25.2816483516484,263.02,87.100989010989,1.11417582417582,91.2545054945055,0.866813186813187,0.886593406593407,0.932087912087912,30.319010989011,20.2887912087912,10.0301098901099,24.9102197802198,141.27,76.8079120879121,1.37274725274725,86.9427472527473,0.757912087912088,0.751758241758242,0.81978021978022,29.4385714285714,23.1284615384615,6.30901098901099,25.8669230769231,260.37,88.7173626373626,1.6789010989011,93.7813186813187,0.697802197802198,0.681648351648352,0.73,27.9067741935484,21.931935483871,5.97408602150538,24.5133333333333,1040.86,90.555376344086,1.81247311827957,77.9695698924731,0.836881720430108,0.829784946236559,0.866774193548387
"Ibadan19","Derived Savanna",29.1548901098901,22.1708241758242,6.98384615384615,25.2476373626374,1177.07,87.1611538461539,1.60285714285714,86.0736263736264,0.809285714285714,0.813461538461538,0.853076923076923,29.2781318681319,21.6676373626374,7.60950549450549,25.1482967032967,865.5,84.5389010989011,1.37681318681319,91.4430769230769,0.806593406593407,0.807857142857143,0.846318681318681,29.1951098901099,22.3838461538462,6.81115384615385,25.4106593406593,1212.36,87.5497802197802,1.49384615384615,88.7422527472527,0.833736263736264,0.839065934065934,0.880164835164835,29.4901075268817,21.8797311827957,7.61010752688172,25.375376344086,977.53,84.6653225806452,1.34408602150538,90.9765591397849,0.836236559139785,0.842634408602151,0.887795698924731
"Ibadan20","Derived Savanna",28.4450581395349,22.5278488372093,5.91808139534884,25.1022674418605,1445.97,90.5826162790698,1.71918604651163,82.4546511627907,0.851453488372093,0.855813953488372,0.898023255813953,28.1163953488372,22.2075581395349,5.90843023255814,24.8176162790698,2049.97,90.8883720930232,1.56825581395349,80.4170348837209,0.931104651162791,0.960406976744186,0.968604651162791,30.4747674418605,20.0278488372093,10.4471511627907,24.9641860465116,159.46,75.8712790697674,1.22186046511628,95.9904651162791,0.832441860465116,0.849127906976744,0.901162790697674,30.9237356321839,22.1379310344828,8.78609195402299,26.0694827586207,373.91,80.9189655172414,1.61074712643678,95.772183908046,0.694540229885057,0.682701149425287,0.740114942528736
"Ikenne17","Derived Savanna",28.376170212766,22.7140425531915,5.66234042553191,25.0455319148936,909.11,90.5679787234043,1.27957446808511,81.5955319148936,0.764148936170213,0.746276595744681,0.850106382978723,30.1901063829787,22.5982978723404,7.5913829787234,26.0131914893617,158.38,84.4958510638298,0.828191489361702,96.0454255319149,0.792021276595745,0.800425531914894,0.91063829787234,30.4498936170213,23.8047872340426,6.64510638297872,26.6306382978723,185.81,86.7382978723404,1.08202127659574,95.3971276595745,0.676170212765957,0.660851063829787,0.797659574468085,28.9040625,23.4097916666667,5.494375,25.795625,801.4,90.2933333333333,1.16854166666667,82.6151041666667,0.760416666666667,0.739479166666667,0.849479166666667
"Ikenne18","Derived Savanna",28.6155477031802,22.8127208480565,5.80272084805654,25.2741342756184,1689.07,90.4822614840989,1.13212014134276,82.3850530035336,0.827279151943463,0.834946996466431,0.92904593639576,29.9072084805654,21.9614487632509,7.94572438162544,25.5232508833922,526.79,83.9787632508834,0.93756183745583,90.3672084805654,0.764664310954064,0.761908127208481,0.889611307420495,29.6790812720848,23.193109540636,6.4852296819788,26.0355477031802,655.74,87.2044522968198,1.19385159010601,93.6205300353357,0.687773851590106,0.670812720848057,0.805335689045936,28.4197577854671,22.9707612456747,5.44937716262976,25.2838408304498,2246.77,90.6821799307959,1.29989619377163,83.129169550173,0.753667820069204,0.735017301038062,0.847750865051903
"Ikenne19","Derived Savanna",28.0956071428571,22.6401785714286,5.45575,24.9341428571429,2825.73,91.1046428571429,1.37342857142857,80.0795,0.824428571428571,0.8235,0.913321428571429,29.1646785714286,23.0189285714286,6.1455,25.7654642857143,2003.55,88.9121071428571,0.879714285714286,90.1927857142857,0.901285714285714,0.942714285714286,0.973071428571429,30.4352142857143,21.8601071428571,8.57442857142857,25.8011071428571,462.34,81.6755,1.02014285714286,92.6282142857143,0.757178571428571,0.74925,0.881785714285714,29.6376223776224,24.1087412587413,5.52856643356643,26.5154195804196,1426.47,89.9497902097902,1.15160839160839,94.3594755244755,0.737762237762238,0.716713286713287,0.846468531468532
