gen,sire,dam
TMS14F1278P0003,TMS13F1106P0006,TMS13F1088P0008
TMS14F1285P0006,0,0
TMS14F1285P0017,IITA-TMS-IBA000070,IITA-TMS-IBA961632
TMS14F1287P0008,IITA-TMS-ZAR930151,IITA-TMS-MM970806
TMS14F1288P0008,0,0
TMS14F1291P0003,IITA-TMS-IBA030055A,IITA-TMS-IBA961632
TMS14F1291P0011,IITA-TMS-IBA030055A,IITA-TMS-IBA961632
TMS14F1291P0012,IITA-TMS-IBA030055A,IITA-TMS-IBA961632
TMS14F1292P0012,IITA-TMS-IBA030055A,IITA-TMS-MM970806
TMS14F1295P0012,IITA-TMS-IBA030055A,IITA-TMS-IBA930265
TMS14F1297P0019,IITA-TMS-MM970806,IITA-TMS-IBA020431
TMS14F1299P0007,IITA-TMS-MM970806,IITA-TMS-IBA993073
TMS14F1300P0002,IITA-TMS-MM970043,IITA-TMS-ZAR930151
TMS14F1300P0008,IITA-TMS-MM970043,IITA-TMS-ZAR930151
TMS14F1301P0004,IITA-TMS-IBA030055A,IITA-TMS-IBA020431
TMS14F1301P0013,IITA-TMS-IBA030055A,IITA-TMS-IBA020431
TMS14F1303P0012,IITA-TMS-IBA930134,IITA-TMS-ZAR930151
TMS14F1306P0008,IITA-TMS-MM970043,IITA-TMS-IBA030060
TMS14F1306P0015,IITA-TMS-MM970043,IITA-TMS-IBA030060
TMS14F1306P0020,IITA-TMS-MM970043,IITA-TMS-IBA030060
TMS14F1310P0004,IITA-TMS-IBA930265,IITA-TMS-IBA030060
TMS14F1310P0015,IITA-TMS-IBA930265,IITA-TMS-IBA030060
TMS14F1311P0002,IITA-TMS-ZAR930151,IITA-TMS-IBA030060
TMS14F1312P0003,IITA-TMS-ZAR930151,IITA-TMS-IBA930134
