"","gen","OP","RMSD","rank_OP","rank_RMSD","sum_rank"
"87","TMS14F1301P0004",4.37404972447286,0.475158319249915,8,5,13
"1","IITA-TMS-IBA000070",6.90271886864715,0.733597915832139,2,14,16
"57","TMS14F1036P0007",6.46066995764024,0.988400070218158,4,22,26
"61","TMS14F1125P0010",4.09928567740584,0.892040502571603,10,16,26
"92","TMS14F1306P0020",1.80914604387304,0.285953126573087,26,1,27
"46","TMS13F2207P0001",2.04493144540135,0.615360609141109,21,10,31
"40","TMS13F1377P0018",1.4156598597262,0.449493211505979,34,3,37
"72","TMS14F1262P0002",2.91560810971976,1.15963660166729,14,30,44
"74","TMS14F1285P0006",2.02322175067217,0.986643757974938,23,21,44
"91","TMS14F1306P0015",0.654009644826549,0.418828568838841,44,2,46
"24","TMS13F1182P0002",1.54871268270567,0.926772581344627,32,17,49
"10","TMS13F1053P0010",4.28821131471388,1.47688436549247,9,43,52
"55","TMS14F1035P0004",1.69832797010013,1.02105603035659,28,25,53
"62","TMS14F1131P0001",2.3913547233944,1.4075456967555,17,39,56
"26","TMS13F1288P0005",1.06621708745334,0.975742930501596,38,19,57
"48","TMS14F1013P0007",-0.0465062879623111,0.498530507808618,52,6,58
"15","TMS13F1095P0011",1.55834620804094,1.09375225930989,31,28,59
"93","TMS14F1310P0004",0.662093837294355,0.976976753896408,42,20,62
"18","TMS13F1124P0004",1.78750750601169,1.38555705931392,27,37,64
"47","TMS14F1001P0004",2.27133111058936,1.5814907066754,18,46,64
"94","TMS14F1310P0015",5.31938784624932,1.82128234531213,5,61,66
"11","TMS13F1053P0015",2.96712990261341,1.76557393729978,13,56,69
"21","TMS13F1153P0001",0.29102982148825,1.00297778621913,48,23,71
"50","TMS14F1014P0017",-1.00410617556016,0.618106018145799,60,11,71
"75","TMS14F1285P0017",3.86641424794159,1.90587354242864,12,64,76
"43","TMS13F1461P0002",-1.77063152295356,0.500323237785034,70,7,77
"88","TMS14F1301P0013",4.98903801333682,2.18168844199806,6,73,79
"89","TMS14F1303P0012",0.203342935395498,1.1417543737465,51,29,80
"31","TMS13F1343P0002",0.396430416272726,1.27056686675226,47,34,81
"33","TMS13F1343P0022",2.23552057704573,1.85001885114455,19,62,81
"66","TMS14F1195P0004",-1.08664542073196,0.945408421837235,63,18,81
"30","TMS13F1329P0003",0.742727403236523,1.4512212416866,41,41,82
"34","TMS13F1343P0044",-2.33319941180919,0.61113060311589,73,9,82
"39","TMS13F1376P0018",7.36939399233596,2.72107569326531,1,82,83
"42","TMS13F1401P0016",0.444255040221178,1.46809774860458,46,42,88
"69","TMS14F1208P0007",0.801742518491512,1.59101097054109,40,48,88
"6","TMS13F1020P0001",0.89884983367614,1.59622841135554,39,50,89
"45","TMS13F2110P0008",2.51654213063598,2.18353025474137,16,74,90
"28","TMS13F1307P0016",2.2198097518698,2.15262878720075,20,72,92
"54","TMS14F1022P0006",2.04133882200571,2.07225256775071,22,70,92
"73","TMS14F1278P0003",-1.38956708343342,1.03371145620048,67,26,93
"82","TMS14F1295P0012",-0.289094371668834,1.38817483588883,56,38,94
"13","TMS13F1069P0024",2.7910103238748,2.61368238761604,15,81,96
"27","TMS13F1304P0003",6.56425242917831,3.43776149344543,3,93,96
